,國文,英文,數學,社會,自然
0,8,6,9,10,6
1,8,8,12,11,15
2,7,11,13,11,15
3,9,10,11,11,12
4,12,12,10,6,10
5,7,11,10,7,6
6,13,8,10,15,7
7,8,9,13,8,11
8,15,9,8,13,11
9,8,6,9,8,9
10,14,9,10,11,6
11,6,8,7,12,7
12,11,8,11,11,14
13,13,14,14,14,10
14,12,10,13,14,13
15,14,13,6,6,15
16,6,8,10,10,11
17,15,11,8,15,8
18,15,8,15,8,9
19,10,7,14,15,9
20,10,13,11,10,9
21,14,8,15,9,11
22,7,9,7,9,15
23,13,9,11,9,12
24,10,12,9,13,9
25,10,11,10,11,12
26,15,15,7,9,14
27,11,6,7,14,14
28,12,8,13,14,11
29,15,6,8,9,12
30,6,11,9,10,13
31,8,15,9,12,14
32,11,10,15,8,8
33,10,11,8,9,9
34,13,10,10,13,10
35,13,6,6,9,10
36,14,9,8,11,9
37,8,8,6,8,15
38,15,15,11,15,7
39,12,9,7,11,14
40,9,15,10,14,14
41,7,8,11,12,15
42,7,7,7,7,13
43,15,8,12,10,6
44,14,14,12,12,11
45,13,14,6,7,7
46,10,8,10,13,12
47,13,10,7,7,13
48,6,11,6,6,10
49,7,9,8,12,12
50,13,13,8,15,15
51,12,6,15,6,9
52,13,10,10,6,15
53,15,12,13,14,13
54,12,11,11,12,13
55,12,11,6,13,15
56,15,7,15,11,8
57,6,12,8,11,10
58,6,12,10,6,14
59,7,11,14,12,11
60,13,13,7,15,13
61,10,8,13,12,8
62,9,8,14,12,14
63,6,8,10,12,6
64,10,7,6,13,7
65,13,13,13,15,15
66,14,15,14,14,6
67,12,7,7,6,8
68,7,12,11,7,13
69,10,10,7,9,8
70,12,7,6,12,15
71,15,10,10,15,10
72,14,7,12,8,14
73,15,15,8,15,7
74,6,9,7,12,10
75,9,6,9,6,10
76,10,11,7,11,8
77,7,13,15,7,15
78,7,7,11,13,13
79,8,14,7,15,14
80,14,6,7,9,9
81,10,9,15,9,7
82,7,7,15,9,8
83,7,6,15,8,11
84,8,13,9,14,6
85,12,8,9,7,15
86,14,11,13,11,15
87,15,12,9,12,7
88,7,7,13,6,13
89,10,12,10,12,10
90,11,12,14,12,14
91,11,10,11,13,9
92,13,13,7,8,13
93,10,12,13,15,15
94,10,8,7,7,7
95,7,14,6,14,13
96,14,15,6,8,7
97,7,9,6,13,10
98,12,7,6,14,11
99,11,9,8,13,6
