,國文,英文,數學,社會,自然
0,15,12,6,12,15
1,10,8,6,6,8
2,13,7,7,6,9
3,14,6,13,8,13
4,15,7,14,9,15
5,11,10,9,10,9
6,14,8,7,13,7
7,14,13,9,7,7
8,15,14,8,10,12
9,9,11,11,6,9
10,6,10,7,14,6
11,9,11,14,9,9
12,11,10,8,14,7
13,13,10,11,6,10
14,15,6,11,9,11
15,11,15,6,7,15
16,6,12,14,6,6
17,13,9,7,7,13
18,13,14,15,13,7
19,11,14,12,15,12
20,10,9,15,12,10
21,9,13,13,14,11
22,7,15,9,9,11
23,13,13,13,8,12
24,9,6,11,12,15
25,15,14,9,12,6
26,7,9,8,13,15
27,7,7,10,8,7
28,10,10,9,9,8
29,7,7,11,6,9
30,15,10,10,7,15
31,15,8,15,11,11
32,11,11,6,9,13
33,6,14,9,11,12
34,6,6,14,15,15
35,15,7,11,8,9
36,7,14,14,12,14
37,11,15,11,12,12
38,11,8,11,13,8
39,9,9,12,14,14
40,15,11,6,10,7
41,6,11,15,8,8
42,15,15,10,15,12
43,6,14,8,8,15
44,10,8,8,6,10
45,15,14,12,10,10
46,14,11,14,9,15
47,8,6,10,14,10
48,15,6,14,10,11
49,9,13,8,13,14
50,6,11,10,15,12
51,6,14,8,9,7
52,9,15,13,8,7
53,6,15,9,15,13
54,10,7,11,9,8
55,7,15,10,15,12
56,8,15,8,8,11
57,11,7,9,11,13
58,6,9,7,10,13
59,14,10,15,7,9
60,8,14,11,12,8
61,9,9,14,13,13
62,13,10,12,7,8
63,12,7,7,7,8
64,13,10,11,13,9
65,12,11,15,12,8
66,12,12,6,13,14
67,10,7,12,7,11
68,15,15,13,8,8
69,14,10,12,12,7
70,9,12,9,9,12
71,12,12,6,13,7
72,11,13,12,6,10
73,15,10,10,9,9
74,8,14,8,8,6
75,15,10,7,6,10
76,7,6,7,13,12
77,11,14,11,7,7
78,6,14,8,12,12
79,11,11,13,6,14
80,6,10,13,7,9
81,6,15,10,12,6
82,14,13,11,13,11
83,12,15,7,6,11
84,14,9,15,15,6
85,9,8,10,8,9
86,15,9,7,9,10
87,13,12,15,12,9
88,11,12,11,15,6
89,6,13,9,9,6
90,13,14,14,8,11
91,13,7,14,13,11
92,11,12,11,12,11
93,15,12,13,10,7
94,11,7,12,6,6
95,10,15,7,14,6
96,11,14,11,11,9
97,6,6,7,9,15
98,7,9,14,14,14
99,11,11,6,12,9
